Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
679, 274.49,    0.0005,    0.0007
680, 275.78,    0.0005,    0.0020
681, 277.07,    0.0007,    0.0022
682, 278.36,    0.0004,    0.0031
683, 279.64,    0.0004,   -0.0003
684, 280.93,    0.0006,   -0.0018
685, 282.22,   -0.0001,    0.0006
686, 283.51,    0.0002,    0.0018
687, 284.80,   -0.0000,   -0.0006
688, 286.08,    0.0003,    0.0005
689, 287.37,    0.0009,   -0.0004
690, 288.66,    0.0002,   -0.0003
691, 289.95,    0.0001,    0.0003
692, 291.24,    0.0003,    0.0002
693, 292.53,   -0.0004,   -0.0031
694, 293.81,    0.0003,   -0.0031
695, 295.10,    0.0001,   -0.0029
696, 296.39,   -0.0002,   -0.0009
697, 297.68,    0.0006,   -0.0018
698, 298.97,   -0.0002,    0.0004
699, 300.26,    0.0002,   -0.0004
700, 301.54,   -0.0003,   -0.0000
701, 302.83,   -0.0003,   -0.0011
702, 304.12,   -0.0001,   -0.0032
703, 305.41,    0.0001,   -0.0037
704, 306.70,    0.0001,   -0.0063
705, 307.98,   -0.0001,   -0.0035
